log | 2022-09-07 22:59 | Loaded commands/tlhelp.js
log | 2022-09-07 22:59 | Loaded commands/twitcast.js
log | 2022-09-07 22:59 | Loaded commands/unblacklist.js
log | 2022-09-07 22:59 | Loaded commands/viewblacklist.js
log | 2022-09-07 22:59 | Loaded commands/youtube.js
log | 2022-09-07 22:59 | Loaded 19 commands.
log | 2022-09-07 23:00 | Loaded events/error.js
log | 2022-09-07 23:00 | Loaded events/guildCreate.js
log | 2022-09-07 23:00 | Loaded events/guildDelete.js
log | 2022-09-07 23:00 | Loaded events/interactionCreate.js
log | 2022-09-07 23:00 | Loaded events/messageDelete.js
log | 2022-09-07 23:00 | Loaded events/rateLimit.js
log | 2022-09-07 23:00 | Loaded events/ready.js
log | 2022-09-07 23:00 | Loaded 7 events.
log | 2022-09-07 23:00 | Loaded commands/admins.js
log | 2022-09-07 23:00 | Loaded commands/blacklist.js
log | 2022-09-07 23:00 | Loaded commands/blacklisters.js
log | 2022-09-07 23:00 | Loaded commands/cameos.js
log | 2022-09-07 23:00 | Loaded commands/community.js
log | 2022-09-07 23:00 | Loaded commands/deepl.js
log | 2022-09-07 23:00 | Loaded commands/filter.js
log | 2022-09-07 23:00 | Loaded commands/gossip.js
log | 2022-09-07 23:00 | Loaded commands/list.js
log | 2022-09-07 23:00 | Loaded commands/log.js
log | 2022-09-07 23:00 | Loaded commands/mods.js
log | 2022-09-07 23:00 | Loaded commands/logChannel.js
log | 2022-09-07 23:00 | Loaded commands/run.js
log | 2022-09-07 23:00 | Loaded commands/relay.js
log | 2022-09-07 23:00 | Loaded commands/threads.js
log | 2022-09-07 23:00 | Loaded commands/tlhelp.js
log | 2022-09-07 23:00 | Loaded commands/twitcast.js
log | 2022-09-07 23:00 | Loaded commands/unblacklist.js
log | 2022-09-07 23:00 | Loaded commands/viewblacklist.js
log | 2022-09-07 23:00 | Loaded commands/youtube.js
log | 2022-09-07 23:00 | Loaded 20 commands.
log | 2022-09-07 23:00 | Loaded commands/admins.js
log | 2022-09-07 23:00 | Loaded commands/blacklist.js
log | 2022-09-07 23:00 | Loaded commands/blacklisters.js
log | 2022-09-07 23:00 | Loaded commands/cameos.js
log | 2022-09-07 23:00 | Loaded commands/community.js
log | 2022-09-07 23:00 | Loaded commands/deepl.js
log | 2022-09-07 23:00 | Loaded commands/filter.js
log | 2022-09-07 23:00 | Loaded commands/gossip.js
log | 2022-09-07 23:00 | Loaded commands/list.js
log | 2022-09-07 23:00 | Loaded commands/log.js
log | 2022-09-07 23:00 | Loaded commands/logChannel.js
log | 2022-09-07 23:00 | Loaded commands/mods.js
log | 2022-09-07 23:00 | Loaded commands/relay.js
log | 2022-09-07 23:00 | Loaded commands/run.js
log | 2022-09-07 23:00 | Loaded commands/threads.js
log | 2022-09-07 23:00 | Loaded commands/tlhelp.js
